epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,174.543,0.81462,1.98438,1.10798,0.88018,0.36339,0.5234,0.42472,1.19934,2.68331,1.04762,0.000463798,0.000463798,0.000463798
2,311.088,0.68788,0.98608,1.02059,0.78977,0.5365,0.53271,0.38297,1.32472,2.45115,1.13036,0.000930824,0.000930824,0.000930824
3,448.359,0.68095,0.90001,1.01579,0.8577,0.61377,0.65511,0.53783,1.09999,1.44293,0.97841,0.00138842,0.00138842,0.00138842
4,587.799,0.71141,0.89407,1.01243,0.73103,0.66346,0.61807,0.47856,1.12302,1.69456,0.95475,0.00138656,0.00138656,0.00138656
5,723.569,0.64708,0.79826,1.00382,0.74911,0.65963,0.66371,0.53816,1.12147,1.54526,0.97042,0.00137241,0.00137241,0.00137241
6,861.796,0.63627,0.7572,0.99682,0.84312,0.64241,0.66148,0.53828,1.05536,1.71588,0.95516,0.00135826,0.00135826,0.00135826
7,998.895,0.63246,0.74087,0.99577,0.83706,0.64246,0.68871,0.56011,1.07172,1.38272,0.92118,0.00134412,0.00134412,0.00134412
8,1137.96,0.60349,0.67901,0.97593,0.86522,0.52368,0.59464,0.45493,1.17448,1.78965,1.04023,0.00132997,0.00132997,0.00132997
9,1279.16,0.62038,0.69999,0.99405,0.82156,0.64429,0.69571,0.55861,1.05284,1.29011,0.90874,0.00131582,0.00131582,0.00131582
10,1414.78,0.59665,0.67208,0.98535,0.8588,0.72557,0.76129,0.61773,0.93638,1.03174,0.84983,0.00130168,0.00130168,0.00130168
11,1554.5,0.5581,0.60776,0.95491,0.83109,0.64189,0.71788,0.56469,1.04254,1.28329,0.92929,0.00128753,0.00128753,0.00128753
12,1691.59,0.57614,0.6243,0.9741,0.84508,0.64641,0.71067,0.58669,0.89031,1.08719,0.82451,0.00127338,0.00127338,0.00127338
13,1830.28,0.58871,0.59583,0.96011,0.87456,0.67608,0.72205,0.60373,0.87858,1.10194,0.8313,0.00125923,0.00125923,0.00125923
14,1965.58,0.55121,0.56159,0.96032,0.91464,0.63882,0.70598,0.6102,0.90391,1.20496,0.83525,0.00124509,0.00124509,0.00124509
15,2102.58,0.53975,0.53724,0.94311,0.80223,0.73325,0.76928,0.64159,0.87119,0.8659,0.80247,0.00123094,0.00123094,0.00123094
16,2241.18,0.53938,0.54421,0.95035,0.83465,0.69726,0.74293,0.60377,0.90786,1.01547,0.83979,0.00121679,0.00121679,0.00121679
17,2376.78,0.51918,0.50644,0.94634,0.90061,0.63944,0.72424,0.6206,0.87587,1.05719,0.83417,0.00120265,0.00120265,0.00120265
18,2513.57,0.53365,0.52752,0.94593,0.9089,0.67924,0.74175,0.64753,0.82284,0.96548,0.78842,0.0011885,0.0011885,0.0011885
19,2651.78,0.51334,0.50409,0.94544,0.85145,0.67286,0.7403,0.6085,0.88098,0.94991,0.82814,0.00117435,0.00117435,0.00117435
20,2788.19,0.49683,0.49214,0.95079,0.94404,0.6507,0.75845,0.6303,0.89703,1.01004,0.85236,0.00116021,0.00116021,0.00116021
21,2923.97,0.51311,0.50763,0.94578,0.92506,0.66624,0.77753,0.64273,0.88932,1.00413,0.80231,0.00114606,0.00114606,0.00114606
22,3057.01,0.49054,0.47505,0.94167,0.84985,0.68979,0.76233,0.62855,0.87938,1.09392,0.81579,0.00113191,0.00113191,0.00113191
23,3197.29,0.51249,0.48288,0.93715,0.92263,0.69561,0.76215,0.63675,0.86847,0.87304,0.84736,0.00111776,0.00111776,0.00111776
24,3334.78,0.49773,0.47518,0.94184,0.87857,0.67502,0.74197,0.63255,0.88045,1.094,0.8294,0.00110362,0.00110362,0.00110362
25,3471.77,0.49002,0.46219,0.93533,0.89178,0.70693,0.75605,0.64311,0.8463,0.95774,0.7817,0.00108947,0.00108947,0.00108947
26,3605.57,0.49245,0.46103,0.93446,0.9499,0.68233,0.76237,0.65739,0.84333,1.01253,0.78697,0.00107532,0.00107532,0.00107532
27,3742.8,0.5085,0.48064,0.94597,0.90951,0.67594,0.7481,0.63893,0.87539,1.16539,0.80361,0.00106118,0.00106118,0.00106118
28,3874.7,0.4733,0.45061,0.93129,0.89871,0.659,0.74978,0.64546,0.81173,1.00688,0.77628,0.00104703,0.00104703,0.00104703
29,4008.47,0.47965,0.44749,0.93254,0.89951,0.69441,0.76279,0.65264,0.84528,0.90555,0.81305,0.00103288,0.00103288,0.00103288
30,4142.6,0.46844,0.43759,0.92488,0.88424,0.66427,0.74543,0.61925,0.87736,1.25903,0.82434,0.00101873,0.00101873,0.00101873
31,4278.21,0.47223,0.43857,0.92895,0.88356,0.69556,0.74901,0.62506,0.85841,1.03305,0.82089,0.00100459,0.00100459,0.00100459
32,4413.91,0.47223,0.43168,0.93138,0.89588,0.69347,0.71396,0.6191,0.84141,1.31384,0.79241,0.00099044,0.00099044,0.00099044
33,4550.97,0.48274,0.43243,0.93365,0.8673,0.71975,0.77147,0.65428,0.79552,0.7475,0.76049,0.000976293,0.000976293,0.000976293
34,4683.71,0.45993,0.41089,0.9185,0.8985,0.72244,0.77992,0.66622,0.80118,0.83726,0.76607,0.000962146,0.000962146,0.000962146
35,4820.27,0.45186,0.4203,0.91953,0.90457,0.70917,0.78381,0.65002,0.81137,0.85684,0.7739,0.000947999,0.000947999,0.000947999
36,4956.17,0.46431,0.4155,0.91511,0.90731,0.71668,0.7641,0.64969,0.79454,0.85142,0.76125,0.000933851,0.000933851,0.000933851
37,5093.98,0.45831,0.41349,0.91905,0.88076,0.71913,0.76817,0.6618,0.779,0.86712,0.75454,0.000919704,0.000919704,0.000919704
38,5229.87,0.46423,0.40895,0.9216,0.89049,0.7338,0.79922,0.66796,0.80764,0.75357,0.75339,0.000905557,0.000905557,0.000905557
39,5364.02,0.44933,0.38531,0.9197,0.90273,0.72888,0.78622,0.68101,0.78875,0.75284,0.77527,0.00089141,0.00089141,0.00089141
40,5502.69,0.44487,0.3941,0.91424,0.82571,0.7386,0.78483,0.67435,0.80299,0.7753,0.78909,0.000877263,0.000877263,0.000877263
41,5635.19,0.43145,0.38433,0.91226,0.92339,0.71395,0.79388,0.67575,0.81841,0.73868,0.79324,0.000863116,0.000863116,0.000863116
42,5773.67,0.44943,0.39458,0.92377,0.9312,0.70731,0.78075,0.67298,0.798,1.01302,0.78897,0.000848969,0.000848969,0.000848969
43,5906.07,0.43266,0.37189,0.90952,0.82322,0.74055,0.80406,0.6853,0.79078,0.70127,0.76574,0.000834822,0.000834822,0.000834822
44,6042.67,0.44291,0.38442,0.90687,0.88538,0.71351,0.77739,0.66351,0.80053,0.88702,0.77012,0.000820675,0.000820675,0.000820675
45,6176.87,0.43436,0.38258,0.91119,0.82745,0.71888,0.79534,0.67636,0.80478,0.88046,0.78485,0.000806528,0.000806528,0.000806528
46,6310.19,0.44144,0.39658,0.91873,0.94501,0.70285,0.77401,0.6686,0.78966,0.93089,0.76923,0.00079238,0.00079238,0.00079238
47,6449.59,0.45586,0.39471,0.91687,0.90404,0.68444,0.73336,0.65237,0.80205,0.99581,0.78554,0.000778233,0.000778233,0.000778233
48,6586.8,0.4438,0.38671,0.90952,0.87318,0.72695,0.78627,0.66958,0.7687,0.74125,0.74664,0.000764086,0.000764086,0.000764086
49,6720.4,0.41992,0.37403,0.91087,0.91571,0.71358,0.77017,0.66099,0.78096,0.89792,0.77882,0.000749939,0.000749939,0.000749939
50,6857.17,0.4365,0.37641,0.9116,0.93958,0.70463,0.78835,0.67291,0.77569,0.78638,0.751,0.000735792,0.000735792,0.000735792
